epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.11188,3.31805,40.7048,2.28665,0,0,0,0,0,40.4628,0,0,0,0
2,12.0295,3.51974,9.77822,3.15348,0,0,0,0,0,40.491,0,1.9604e-05,1.9604e-05,1.9604e-05
3,17.9609,0,45.266,0,0,0,0,0,0,40.513,0,3.8416e-05,3.8416e-05,3.8416e-05
4,22.7867,4.29309,9.0584,4.36349,0,0,0,0,0,40.5485,0,5.6436e-05,5.6436e-05,5.6436e-05
5,28.5406,3.34618,6.12509,3.03838,0,0,0,0,0,40.5965,0,7.3664e-05,7.3664e-05,7.3664e-05
6,33.5298,4.16599,9.05455,3.7144,0,0,0,0,0,40.6442,0,9.01e-05,9.01e-05,9.01e-05
7,38.1384,2.57724,5.71328,1.94758,0,0,0,0,0,40.6832,0,0.000105744,0.000105744,0.000105744
8,43.9173,2.17954,5.02128,2.09311,0,0,0,0,0,40.717,0,0.000120596,0.000120596,0.000120596
9,48.4261,0,44.2448,0,0,0,0,0,0,40.7404,0,0.000134656,0.000134656,0.000134656
10,54.0958,1.88981,7.47779,1.76344,0,0,0,0,0,40.7549,0,0.000147924,0.000147924,0.000147924
11,59.4021,2.24225,16.608,2.23031,0,0,0,0,0,40.7649,0,0.0001604,0.0001604,0.0001604
12,68.5032,1.78618,5.55916,1.85931,0,0,0,0,0,40.7614,0,0.000172084,0.000172084,0.000172084
13,73.5084,1.35212,6.91392,1.68967,0,0,0,0,0,40.7806,0,0.000182976,0.000182976,0.000182976
14,78.5689,1.66544,9.66942,1.88579,0,0,0,0,0,40.7962,0,0.000193076,0.000193076,0.000193076
15,83.6398,0.62578,11.3937,1.22705,0,0,0,0,0,40.7878,0,0.000202384,0.000202384,0.000202384
16,88.3755,2.04835,6.43567,2.03021,0,0,0,0,0,40.7848,0,0.0002109,0.0002109,0.0002109
17,93.7524,1.83166,10.3761,2.5028,0,0,0,0,0,40.8079,0,0.000218624,0.000218624,0.000218624
18,98.3984,0.77759,4.5481,1.25149,0,0,0,0,0,40.8079,0,0.000225556,0.000225556,0.000225556
19,103.651,1.70376,7.07939,1.90118,0,0,0,0,0,40.8159,0,0.000231696,0.000231696,0.000231696
20,108.269,1.68744,4.06474,1.63407,0,0,0,0,0,40.8159,0,0.000237044,0.000237044,0.000237044
21,112.776,1.37852,3.67847,1.52451,0,0,0,0,0,40.8198,0,0.0002416,0.0002416,0.0002416
22,117.671,1.307,4.0447,1.19854,0,0,0,0,0,40.8198,0,0.000245364,0.000245364,0.000245364
23,122.182,0,44.3212,0,0,0,0,0,0,40.7739,0,0.000248336,0.000248336,0.000248336
24,126.996,0.88085,6.1454,0.83626,0,0,0,0,0,40.7739,0,0.000250516,0.000250516,0.000250516
25,132.119,2.44766,10.5283,1.63102,0,0,0,0,0,40.7159,0,0.000251904,0.000251904,0.000251904
26,137.098,1.41811,4.12245,1.55485,0,0,0,0,0,40.7159,0,0.0002525,0.0002525,0.0002525
27,141.96,1.78785,7.00884,2.20279,0,0,0,0,0,40.6055,0,0.000252304,0.000252304,0.000252304
28,146.641,1.21675,6.56377,1.35916,0,0,0,0,0,40.6055,0,0.000251316,0.000251316,0.000251316
29,151.562,1.08241,4.45992,1.17161,0,0,0,0,0,40.4894,0,0.000249536,0.000249536,0.000249536
30,156.453,1.53721,6.26079,1.6503,0,0,0,0,0,40.4894,0,0.000246964,0.000246964,0.000246964
31,161.157,1.65655,14.3219,2.16316,0,0,0,0,0,40.3658,0,0.0002436,0.0002436,0.0002436
32,165.85,1.65332,3.4887,2.07439,0,0,0,0,0,40.3658,0,0.000239444,0.000239444,0.000239444
33,170.637,1.53525,7.18869,1.29664,0,0,0,0,0,40.2252,0,0.000234496,0.000234496,0.000234496
34,175.842,1.74452,8.10208,1.92614,0,0,0,0,0,40.2252,0,0.000228756,0.000228756,0.000228756
35,181.662,0,42.5179,0,0,0,0,0,0,40.164,0,0.000222224,0.000222224,0.000222224
36,189.442,1.35533,3.83857,1.83776,0,0,0,0,0,40.164,0,0.0002149,0.0002149,0.0002149
37,194.395,1.46816,6.04184,1.66372,0,0,0,0,0,40.1431,0,0.000206784,0.000206784,0.000206784
38,199.658,0.91653,5.60829,0.92581,0,0,0,0,0,40.1431,0,0.000197876,0.000197876,0.000197876
39,204.49,1.08751,4.09559,1.45245,0,0,0,0,0,40.1084,0,0.000188176,0.000188176,0.000188176
40,209.469,1.60905,6.04608,1.62538,0,0,0,0,0,40.1084,0,0.000177684,0.000177684,0.000177684
41,214.845,0.66259,14.2132,1.16072,0,0,0,0,0,40.0402,0,0.0001664,0.0001664,0.0001664
42,219.724,1.73291,9.52434,2.268,0,0,0,0,0,40.0402,0,0.000154324,0.000154324,0.000154324
43,224.227,1.01527,8.68322,1.2987,0,0,0,0,0,39.9796,0,0.000141456,0.000141456,0.000141456
44,228.911,1.37777,9.11777,1.49775,0,0,0,0,0,39.9796,0,0.000127796,0.000127796,0.000127796
