epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61249,3.31805,40.7048,2.28665,0,0,0,0,0,40.4628,0,0,0,0
2,11.8119,3.51974,9.77822,3.15348,0,0,0,0,0,40.491,0,1.9604e-05,1.9604e-05,1.9604e-05
3,16.6524,0,45.266,0,0,0,0,0,0,40.513,0,3.8416e-05,3.8416e-05,3.8416e-05
4,22.095,4.29309,9.0584,4.36349,0,0,0,0,0,40.5485,0,5.6436e-05,5.6436e-05,5.6436e-05
5,26.8353,3.34618,6.12509,3.03838,0,0,0,0,0,40.5965,0,7.3664e-05,7.3664e-05,7.3664e-05
6,31.0774,4.16599,9.05455,3.7144,0,0,0,0,0,40.6442,0,9.01e-05,9.01e-05,9.01e-05
7,35.7564,2.57724,5.71328,1.94758,0,0,0,0,0,40.6832,0,0.000105744,0.000105744,0.000105744
8,40.1093,2.17954,5.02128,2.09311,0,0,0,0,0,40.717,0,0.000120596,0.000120596,0.000120596
9,44.0996,0,44.2448,0,0,0,0,0,0,40.7404,0,0.000134656,0.000134656,0.000134656
10,48.5718,1.88981,7.47779,1.76344,0,0,0,0,0,40.7549,0,0.000147924,0.000147924,0.000147924
11,52.7399,2.24225,16.608,2.23031,0,0,0,0,0,40.7649,0,0.0001604,0.0001604,0.0001604
12,57.4455,1.78618,5.55916,1.85931,0,0,0,0,0,40.7614,0,0.000172084,0.000172084,0.000172084
13,61.871,1.35212,6.91392,1.68967,0,0,0,0,0,40.7806,0,0.000182976,0.000182976,0.000182976
